Sat Jul 18 2026 00:00:00 GMT+0530 (India Standard Time),,,,,,,,,,,,,,,,,,,,,,,,
A.City vs spoc level,,,,,,,,,,,,,,City,SPOC,Basic reason,Sat Jul 18 2026 00:00:00 GMT+0530 (India Standard Time),Fri Jul 17 2026 00:00:00 GMT+0530 (India Standard Time),Thu Jul 16 2026 00:00:00 GMT+0530 (India Standard Time),Wed Jul 15 2026 00:00:00 GMT+0530 (India Standard Time),Tue Jul 14 2026 00:00:00 GMT+0530 (India Standard Time),Mon Jul 13 2026 00:00:00 GMT+0530 (India Standard Time),Sun Jul 12 2026 00:00:00 GMT+0530 (India Standard Time),Tier
CITY,CX,Pod,Sourcing,WH,Grand Total,,,,,,,,,Bangalore,CX,Customer perception / Wrong claim,0.0021425066130441547,0.0021130067303177335,0.0020885340715292022,0.0023435346015991177,0.002992405727297655,0.0020765457735133007,0.002269062428011979,Tier-1
Bangalore,0.0021425066130441547,0.007708236082683998,0.0034351921672830864,0.0017714579817348318,0.015057392844746071,,0.0030114785689492143,0.5119236883942766,83547,83547,,,,Bangalore,Pod,Damage in transit,0,0.000013043251421714405,0,0.000012532270596786726,0,0,0,Tier-1
Chennai,0.004173801369863014,0.011558219178082191,0.0042540667808219175,0.0008294092465753424,0.020815496575342467,,0.004163099315068494,0.5552699228791773,,,,,,Bangalore,Pod,External Damage/Bruises,0.0050271104887069555,0.004995565294516617,0.005907214711189105,0.005576860415570093,0.009632923616161375,0.005931283042736267,0.005931812946325731,Tier-1
Delhi,0.003690925138409693,0.0125972879723983,0.003690925138409693,0.0014041563026558612,0.021383294551873544,,0.004276658910374709,0.5891181988742965,,,,,,Bangalore,Pod,External Rotten/ Fungal,0.0024417393802290926,0.002608650284342881,0.0025457870931066017,0.0025941800135348522,0,0.003795066413662239,0.004296245104814559,Tier-1
Hyderabad,0.00339744327997236,0.009587700103650811,0.003368651387769204,0.00025912702982840033,0.016612921801220776,,0.0033225843602441556,0.5771230502599652,,,,,,Bangalore,Sourcing,Internal Rotten,0.001472225214549894,0.0016304064277143007,0.001371759064732198,0.0011780334360979522,0.0020148070434792974,0.0013008246512238493,0.0015664593411656301,Tier-1
Kolkata,0.004532186203717929,0.012521124596712245,0.002995851897372868,0.0006913504378552773,0.02074051313565832,,0.004148102627131664,0.6037037037037037,,,,,,Bangalore,Sourcing,Taste / water content,0.0006224041557446706,0.0008217248395680075,0.0005314021602115722,0.0008020653181943505,0.00021459483303329797,0.0005489718711586887,0.0007601935038009676,Tier-1
Mumbai,0.0027164388363126535,0.010208552400981423,0.0025192779530318963,0.0013363126533473537,0.01678058184367333,,0.0033561163687346658,0.6083550913838119,,,,,,Bangalore,Sourcing,Incorrect size (sourcing issue),0.0003471100099345279,0.0002869515312777169,0.00027188017499196716,0.0002506454119357345,0.000011921935168516554,0.00026255176446719894,0.00035706058511863624,Tier-1
Pune,0.0029150596466050766,0.00964212036953987,0.0022423535743115973,0.00031392950040362366,0.015113463090860167,,0.0030226926181720335,0.6379821958456974,,,,,,Bangalore,DP,Overripe,0.00023938621374795026,0.00022173527416914488,0.0002224474159025186,0.00022558087074216106,0.0002265167682018145,0.0001909467377943265,0.00027643400138217003,Tier-1
Noida 1,0.003313840155945419,0.014619883040935672,0.005458089668615985,0.0027290448343079924,0.023391812865497075,,0.004678362573099415,0.625,,,,,,Bangalore,DP,Raw,0.0009934527870539935,0.0007565085824594355,0.0005066857806668479,0.0008020653181943505,0.0008345354617961588,0.0009189311756351963,0.0008984105044920525,Tier-1
Gurgaon,0.00390337310354986,0.013404035940491972,0.003608778907055531,0.001988510826336721,0.022904698777434084,,0.004580939755486817,0.5852090032154341,,,,,,Bangalore,WH,Shrivelled / Dry,0.0007899745053682358,0.000965200605206866,0.001359400874959836,0.0009023234829686443,0.00025036063853884765,0.0009308653467473417,0.0006219765031098825,Tier-1
,,,,,,,,,,,,,,Bangalore,WH,Underweight (packing issue),0.0009814834763665961,0.0007304220796160067,0.0010380879408784201,0.000914855753565431,0.0004053457957295628,0.0010144045445323595,0.0011287721723105275,Tier-1
,,,,,,,,,,,,,,Chennai,CX,Customer perception / Wrong claim,0.004173801369863014,0.004483536567952709,0.0036404295706893414,0.0034663442160419184,0.0035800451396995874,0.0049035369774919615,0.0050584212026218295,Tier-1
,,,,,,,,,,,,,,Chennai,Pod,Damage in transit,0,0,0,0,0,0.000026795284030010716,0,Tier-1
,,,,,,,,,,,,,,Chennai,Pod,External Damage/Bruises,0.011156892123287672,0.009909472541908215,0.010219205866292222,0.00956603520085987,0.01149246374555737,0.013236870310825296,0.012729172603780755,Tier-1
,,,,,,,,,,,,,,Chennai,Pod,External Rotten/ Fungal,0.00002675513698630137,0,0,0,0.00005188471216955924,0.00010718113612004287,0,Tier-1
,,,,,,,,,,,,,,Chennai,Sourcing,Internal Rotten,0.001953125,0.0025416226404317904,0.002340276152586005,0.001397286040575037,0.0005707318338651516,0.0008038585209003215,0.0009736867103638263,Tier-1
,,,,,,,,,,,,,,Chennai,Sourcing,Taste / water content,0.0005351027397260274,0.0004854784818802296,0.0003120368203448007,0.0004836759371221282,0.00036319298518691466,0.0003215434083601286,0.0006887052341597796,Tier-1
,,,,,,,,,,,,,,Chennai,Sourcing,Incorrect size (sourcing issue),0,0.000028557557757660565,0,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Chennai,DP,Overripe,0.00037457191780821916,0.0003426906930919268,0.00028603375198273394,0.0002418379685610641,0.00020753884867823696,0.00040192926045016077,0.00018998765080269783,Tier-1
,,,,,,,,,,,,,,Chennai,DP,Raw,0.0017658390410958903,0.003084216237827341,0.000936110461034402,0.0007255139056831923,0.0001297117804238981,0.0002947481243301179,0.0007836990595611285,Tier-1
,,,,,,,,,,,,,,Chennai,WH,Shrivelled / Dry,0.0002675513698630137,0.00022846046206128452,0.0002080245468965338,0.0006449012494961709,0.001764080213765014,0.0015541264737406217,0.00026123301985370953,Tier-1
,,,,,,,,,,,,,,Chennai,WH,Underweight (packing issue),0.0005618578767123287,0.0003426906930919268,0.0002080245468965338,0.0002687088539567379,0.0004410200534412535,0.00042872454448017146,0.00030872993255438397,Tier-1
,,,,,,,,,,,,,,Delhi,CX,Customer perception / Wrong claim,0.003690925138409693,0.0032415593163256716,0.0036744148893681603,0.001917465610671113,0.0028829125653803385,0.003194179495142185,0.0032272761789050044,Tier-1
,,,,,,,,,,,,,,Delhi,Pod,Damage in transit,0.00004011875150445318,0,0,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Delhi,Pod,External Damage/Bruises,0.012196100457353767,0.013808200724088575,0.012421119897755411,0.006002501042100875,0.012067048309377703,0.01472871656093341,0.016022477029387198,Tier-1
,,,,,,,,,,,,,,Delhi,Pod,External Rotten/ Fungal,0,0.00004209817293929443,0.00011981787682722263,0.0029178824510212586,0.00012355339565915736,0.00008872720819839404,0.00011390386513782368,Tier-1
,,,,,,,,,,,,,,Delhi,Sourcing,Internal Rotten,0.0022867688357538314,0.0013892397069967164,0.001637510983305376,0.0019591496456857023,0.0013590873522507311,0.0016858169557694867,0.0014427822917457665,Tier-1
,,,,,,,,,,,,,,Delhi,Sourcing,Taste / water content,0.0010029687876113296,0.0012208470152395385,0.0009984823068935219,0.001917465610671113,0.0011943494913718546,0.0008429084778847433,0.0006074872807350596,Tier-1
,,,,,,,,,,,,,,Delhi,Sourcing,Incorrect size (sourcing issue),0,0,0,0.00025010421008753647,0.00004118446521971912,0,0,Tier-1
,,,,,,,,,,,,,,Delhi,DP,Overripe,0.00036106876354007864,0.00021049086469647217,0.0005192107995846313,0.00033347228011671527,0.0002471067913183147,0.00031054522869437915,0.0003037436403675298,Tier-1
,,,,,,,,,,,,,,Delhi,DP,Raw,0.0004011875150445318,0.0006314725940894166,0.000958543014617781,0.0022926219258024177,0.0005353980478563486,0.0005767268532895612,0.000835295011010707,Tier-1
,,,,,,,,,,,,,,Delhi,WH,Shrivelled / Dry,0.0008424937815935168,0.0010524543234823609,0.0011183001837207444,0.0005835764902042518,0.0009060582348338206,0.0014639989352735016,0.0007593591009188245,Tier-1
,,,,,,,,,,,,,,Delhi,WH,Underweight (packing issue),0.0005616625210623445,0.0009261598046644776,0.0004792715073088905,0.0013755731554814506,0.0006177669782957868,0.00039927243689277315,0.0005315513706431772,Tier-1
,,,,,,,,,,,,,,Hyderabad,CX,Customer perception / Wrong claim,0.00339744327997236,0.003413723660297657,0.0037533869319948472,0.002636498729686976,0.004021743934237858,0.003942060872753942,0.003304009405278307,Tier-1
,,,,,,,,,,,,,,Hyderabad,Pod,Damage in transit,0.00002879189220315559,0,0,0,0,0.00002291895856252292,0,Tier-1
,,,,,,,,,,,,,,Hyderabad,Pod,External Damage/Bruises,0.009184613612806633,0.008620266221327177,0.008017589836983077,0.007765687167441637,0.009612409952711362,0.009786395306197286,0.010702558073539547,Tier-1
,,,,,,,,,,,,,,Hyderabad,Pod,External Rotten/ Fungal,0,0,0.000022209390130147026,0,0,0.0001375137513751375,0,Tier-1
,,,,,,,,,,,,,,Hyderabad,Sourcing,Internal Rotten,0.0021306000230335138,0.0019156147158504839,0.0018877981610624973,0.001965389962130291,0.001281654660361515,0.0013751375137513752,0.0012567397737868408,Tier-1
,,,,,,,,,,,,,,Hyderabad,Sourcing,Taste / water content,0.00020154324542208914,0.0002701507932609657,0.0005330253631235287,0.00023968170269881596,0.000022097494144164052,0.00018335166850018335,0.00034458993797381116,Tier-1
,,,,,,,,,,,,,,Hyderabad,Sourcing,Incorrect size (sourcing issue),0,0,0,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Hyderabad,DP,Overripe,0.00037429459864102266,0.00017191414116606905,0.0003553502420823524,0.00045539523512775037,0.00015468245900914835,0.0001145947928126146,0.00012161997810840394,Tier-1
,,,,,,,,,,,,,,Hyderabad,DP,Raw,0.0010365081193136013,0.0010069256839726902,0.0014214009683294097,0.0010306313216049087,0.0015026296018031556,0.0005042170883755042,0.0006283698868934204,Tier-1
,,,,,,,,,,,,,,Hyderabad,WH,Shrivelled / Dry,0.00011516756881262236,0.00007367748907117246,0.00022209390130147026,0.00026364987296869757,0.0006408273301807575,0.0011688668866886688,0.00034458993797381116,Tier-1
,,,,,,,,,,,,,,Hyderabad,WH,Underweight (packing issue),0.00014395946101577797,0.00039294660837958643,0.0004886065828632346,0.00040745889458798716,0.0005745348477482654,0.00043546021268793544,0.0005067499087850164,Tier-1
,,,,,,,,,,,,,,Kolkata,CX,Customer perception / Wrong claim,0.004532186203717929,0.005135730007336757,0.0023726551494031287,0.0040577096483318306,0.002637925836599337,0.0029402156158118264,0.0018264840182648401,Tier-1
,,,,,,,,,,,,,,Kolkata,Pod,Damage in transit,0,0,0,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Kolkata,Pod,External Damage/Bruises,0.005991703794745736,0.005706366674818619,0.006376510714020909,0.006011421701232342,0.011531504371419957,0.005145377327670696,0.005128205128205128,Tier-1
,,,,,,,,,,,,,,Kolkata,Pod,External Rotten/ Fungal,0.0059148870794284835,0.007988913344746067,0.005412619559575888,0.0069131349564171924,0.00015073861923424781,0.0070238484155504734,0.005549701440112399,Tier-1
,,,,,,,,,,,,,,Kolkata,Sourcing,Internal Rotten,0.0016131510216623138,0.0016303904785196055,0.001631200415214651,0.0010519987977156598,0.0011305396442568586,0.0012250898399215943,0.0016859852476290833,Tier-1
,,,,,,,,,,,,,,Kolkata,Sourcing,Taste / water content,0.0008449838684897833,0.0015488709545936252,0.0014087639949581078,0.0005259993988578299,0.00007536930961712391,0.0006533812479581836,0.001053740779768177,Tier-1
,,,,,,,,,,,,,,Kolkata,Sourcing,Incorrect size (sourcing issue),0,0.00032607809570392107,0.0003707273670942389,0.00015028554253080853,0,0.0003266906239790918,0.00042149631190727084,Tier-1
,,,,,,,,,,,,,,Kolkata,DP,Overripe,0.0006145337225380243,0.0006521561914078421,0.00044487284051308667,0.00037571385632702135,0.00030147723846849563,0.0008983992159425024,0.0009834913944502986,Tier-1
,,,,,,,,,,,,,,Kolkata,DP,Raw,0.0005377170072207712,0.0008151952392598027,0.0011121821012827168,0.0016531409678388939,0.000829062405788363,0.0008983992159425024,0.0012644889357218123,Tier-1
,,,,,,,,,,,,,,Kolkata,WH,Shrivelled / Dry,0.0004609002919035182,0.00032607809570392107,0.0007414547341884778,0.0005259993988578299,0.0005275851673198674,0.0001633453119895459,0.00042149631190727084,Tier-1
,,,,,,,,,,,,,,Kolkata,WH,Underweight (packing issue),0.0002304501459517591,0.001222792858889704,0.0011863275747015644,0.0006762849413886385,0.00007536930961712391,0.0004900359359686377,0.0005619950825430278,Tier-1
,,,,,,,,,,,,,,Mumbai,CX,Customer perception / Wrong claim,0.0027164388363126535,0.003534360454986684,0.0031965193456014564,0.0031960551547803853,0.003485809382449512,0.0038273231105698737,0.004741130301400426,Tier-1
,,,,,,,,,,,,,,Mumbai,Pod,Damage in transit,0,0,0.000022198051011121224,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Mumbai,Pod,External Damage/Bruises,0.009858044164037854,0.009159469348134506,0.010277697618149126,0.009017441329558944,0.012548913776818243,0.013022839674926063,0.01605609673499472,Tier-1
,,,,,,,,,,,,,,Mumbai,Pod,External Rotten/ Fungal,0.000021906764808973012,0.00007466958707718346,0.0000887922040444849,0.000022828965391288468,0.00011244546394998426,0.00042249670701096005,0.00027889001772943685,Tier-1
,,,,,,,,,,,,,,Mumbai,Sourcing,Internal Rotten,0.0014896600070101647,0.0015431714662617916,0.0013540811116783946,0.0018491461966943657,0.0014842801241397921,0.0013917538583890449,0.0009362736309488237,Tier-1
,,,,,,,,,,,,,,Mumbai,Sourcing,Taste / water content,0.0003505082369435682,0.00017422903651342808,0.00015538635707784858,0.0002967765500867501,0.00033733639184995275,0.00007455824241369883,0.0002988107332815395,Tier-1
,,,,,,,,,,,,,,Mumbai,Sourcing,Incorrect size (sourcing issue),0,0,0,0.000022828965391288468,0,0,0,Tier-1
,,,,,,,,,,,,,,Mumbai,DP,Overripe,0.0003286014721345952,0.00047290738482216193,0.0005105551732557882,0.00018263172313030774,0.0004722709485899339,0.0002236747272410965,0.00041833502659415525,Tier-1
,,,,,,,,,,,,,,Mumbai,DP,Raw,0.0006791097090781634,0.002065858575802076,0.0008213278874114853,0.0011871062003470003,0.0005172491341699276,0.0003479384645972612,0.0007968286220841052,Tier-1
,,,,,,,,,,,,,,Mumbai,WH,Shrivelled / Dry,0.0009419908867858395,0.0005724668342584066,0.0008657239894337278,0.00031960551547803855,0.0010120091755498584,0.0010438153937917837,0.0008565907687404132,Tier-1
,,,,,,,,,,,,,,Mumbai,WH,Underweight (packing issue),0.0003943217665615142,0.00022400876123155038,0.00039956491820018205,0.0002054606885215962,0.00031484729905995593,0.0003230857171260283,0.00037849359548995,Tier-1
,,,,,,,,,,,,,,Pune,CX,Customer perception / Wrong claim,0.0029150596466050766,0.0035483400573567297,0.004109094193082272,0.004374971517112519,0.004472958930104369,0.0022304832713754648,0.003690753690753691,Tier-1
,,,,,,,,,,,,,,Pune,Pod,Damage in transit,0,0,0,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Pune,Pod,External Damage/Bruises,0.00923849672616378,0.011519953336897875,0.011785424004334868,0.011393154992480517,0.010617629783581078,0.005018587360594796,0.011033411033411034,Tier-1
,,,,,,,,,,,,,,Pune,Pod,External Rotten/ Fungal,0,0,0,0,0,0.004368029739776951,0,Tier-1
,,,,,,,,,,,,,,Pune,Sourcing,Internal Rotten,0.0015696475020181182,0.0014096145433334954,0.0018061952497064934,0.0015494690789773504,0.0018072561333755026,0.0022304832713754648,0.0013597513597513598,Tier-1
,,,,,,,,,,,,,,Pune,Sourcing,Taste / water content,0.0001793882859449278,0.0006805035726437564,0.000406393931183961,0.0001367178599097662,0.0002710884200063254,0.0005576208178438662,0.00019425019425019425,Tier-1
