CITY,CITY_2,TIER
Saharanpur,others,Tier_2
Karaikkudi,others,Tier_2
Lonavla,others,Tier_2
Bhilai,others,Tier_2
Rudrapur,others,Tier_2
Hubli,others,Tier_2
Amravati,others,Tier_2
Nellore,others,Tier_2
Kochi,Chennai,Tier_2
Roorkee,others,Tier_2
Rajahmundry,others,Tier_2
Madurai,others,Tier_2
Berhampur,others,Tier_2
Kota,others,Tier_2
Ongole,others,Tier_2
Kolhapur,others,Tier_2
Davanagere,others,Tier_2
Chennai,Chennai,Tier_1
Jaipur,Delhi,Tier_2
Thoothukudi,others,Tier_2
Noida,Delhi,Tier_1
Bhopal,Mumbai,Tier_2
Vizag,Hyderabad,Tier_2
Aurangabad,others,Tier_2
Jabalpur,others,Tier_2
Kanpur,Delhi,Tier_2
Nagercoil,others,Tier_2
Palakkad,others,Tier_2
Jalandhar,others,Tier_2
Bikaner,others,Tier_2
Tumakuru,others,Tier_2
Alappuzha,others,Tier_2
Ludhiana,Delhi,Tier_2
Raipur,others,Tier_2
Warangal,Hyderabad,Tier_2
Tirupati,Hyderabad,Tier_2
Varanasi,Delhi,Tier_2
Tirunelveli,others,Tier_2
Kollam,others,Tier_2
Nizamabad,others,Tier_2
Udaipur,Delhi,Tier_2
Silchar,others,Tier_2
Kurnool,others,Tier_2
Kanchipuram,others,Tier_2
Cuddalore,others,Tier_2
Noida 1,Delhi,Tier_1
Pune,Mumbai,Tier_1
Mathura,others,Tier_2
Central Goa,Mumbai,Tier_2
Gurgaon,Delhi,Tier_1
Guntur,Hyderabad,Tier_2
Trichy,Chennai,Tier_2
Vadodara,Mumbai,Tier_2
Kakinada,others,Tier_2
Vellore,others,Tier_2
Ambala,others,Tier_2
Sonipat,others,Tier_2
Kottayam,others,Tier_2
Dibrugarh,others,Tier_2
Faridabad,Delhi,Tier_2
Mysore,Bangalore,Tier_2
Lucknow,Delhi,Tier_2
Agra,others,Tier_2
Khammam,others,Tier_2
Ajmer,others,Tier_2
Sri Ganganagar,others,Tier_2
Anand,others,Tier_2
Patna,others,Tier_2
Coimbatore,Chennai,Tier_2
Rohtak,others,Tier_2
Aligarh,others,Tier_2
Karimnagar,others,Tier_2
Thanjavur,others,Tier_2
Vijayawada,Hyderabad,Tier_2
Panipat,others,Tier_2
Bilaspur,others,Tier_2
Chandigarh,Delhi,Tier_2
Nashik,Mumbai,Tier_2
Ahmedabad,Mumbai,Tier_2
Mangaluru,Bangalore,Tier_2
Surat,Mumbai,Tier_2
Nagpur,Mumbai,Tier_2
Salem,Bangalore,Tier_2
Manipal,others,Tier_2
Pondicherry,Chennai,Tier_2
Meerut,others,Tier_2
Allahabad,others,Tier_2
Cuttack,others,Tier_2
Bhimavaram,others,Tier_2
Kannur,others,Tier_2
Bathinda,others,Tier_2
Shivamogga,others,Tier_2
Kozhikode,Chennai,Tier_2
Thiruvallur,others,Tier_2
Mumbai,Mumbai,Tier_1
Gwalior,others,Tier_2
Guwahati,others,Tier_2
Jamshedpur,others,Tier_2
Rajkot,Delhi,Tier_2
Moradabad,others,Tier_2
Karur,others,Tier_2
Vapi,others,Tier_2
Belgaum,others,Tier_2
Delhi,Delhi,Tier_1
Tirupur,others,Tier_2
Gorakhpur,others,Tier_2
Nanded,others,Tier_2
Ranchi,Kolkata,Tier_2
Siliguri,others,Tier_2
Indore,Mumbai,Tier_2
Amritsar,Delhi,Tier_2
Jodhpur,others,Tier_2
Hyderabad,Hyderabad,Tier_1
Kolkata,Kolkata,Tier_1
Anantapur,others,Tier_2
Thiruvalla,others,Tier_2
Eluru,others,Tier_2
Patiala,others,Tier_2
Thrissur,Chennai,Tier_2
Erode,others,Tier_2
Ujjain,others,Tier_2
Dindigul,others,Tier_2
Dehradun,Delhi,Tier_2
Latur,others,Tier_2
Bangalore,Bangalore,Tier_1
Thiruvananthapuram,Chennai,Tier_2
Karnal,others,Tier_2
Vizianagaram,others,Tier_2
Muzaffarpur,others,Tier_2
Bhubaneswar,Kolkata,Tier_2
Bareilly,others,Tier_2
Hosur,others,Tier_2